"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_9793597879397";"13";13056;1;3;632,1;1;1
"id_9793597879353";"29";29080;1;1;550,4;1;1
"id_9793597879378";"47";47461;1;1;650,3;1;1
"id_9793597879371";"26";26029;1;2;559,6;1;1
"id_9793597879370";"41";41032;1;1;601,3;1;1
"id_9793597879336";"41";41032;1;1;565,3;1;1
"id_9793597879368";"24";24065;1;1;642,6;1;1
"id_9790597879096";"27";27009;1;1;610,1;1;1
"id_9790597879058";"13";13076;1;1;769,2;1;1
"id_9790597879013";"51";51130;1;1;595,2;1;1
"id_9790597879016";"29";29049;1;3;560,5;1;1
"id_9790597879043";"50";50233;1;1;486,8;1;1
"id_9790597879004";"38";38164;1;2;614,55;1;1
"id_9790597879006";"50";50108;1;2;493,9;1;1
"id_9796597879688";"14";14002;1;1;613,7;1;1
"id_9796597879698";"55";55041;1;1;584,4;1;1
"id_9796597879697";"35";35007;1;1;575,85;1;1
"id_9796597879691";"19";19068;1;1;536,75;1;1
"id_9796597879694";"15";15462;1;1;580,5;1;1
"id_9796597879658";"19";19030;1;1;650,9;1;1
"id_9796597879650";"36";36078;1;1;692,2;1;1
"id_9796597879678";"39";39127;1;1;592;1;1
"id_9796597879648";"16";16007;1;1;670,8;1;1
"id_9796597879641";"18";18068;1;1;639,3;1;1
"id_9796597879622";"36";36078;1;2;701,3;1;1
"id_9796597879626";"12";12027;1;1;712,9;1;1
"id_9796597879639";"47";47201;1;1;728,7;1;1
"id_9796597879637";"34";34055;1;1;603,15;1;1
"id_9796597879633";"12";12039;1;1;777,7;1;1
"id_9796597879606";"35";35040;1;1;629,7;1;1
"id_9758597875882";"50";50112;1;1;654,85;1;1
"id_9758597875892";"41";41007;1;1;556,8;1;1
"id_9758597875853";"50";50122;1;1;749,9;1;1
"id_9758597875879";"55";55013;1;1;624;1;1
"id_9758597875818";"24";24092;1;1;607,2;1;1
"id_9758597875815";"25";25004;1;1;639,45;1;1
"id_9758597875847";"18";18061;1;1;606,9;1;1
"id_9758597875841";"19";19080;1;1;638,5;1;1
"id_9758597875824";"29";29020;1;2;645,1;1;1
"id_9758597875823";"35";35040;1;1;690,8;1;1
"id_9758597875826";"38";38174;1;4;619,2;1;1
"id_9758597875830";"25";25070;1;2;584,4;1;1
"id_9758597875805";"41";41090;1;1;626,5;1;1
"id_9758597875807";"38";38005;1;3;664,55;1;1
"id_9758597875862";"53";53110;1;1;507,05;1;1
"id_9759597875980";"39";39111;1;1;518,7;1;1
"id_9759597875996";"47";47151;1;1;563,8;1;1
